rid,aircraft,airport,model,impact,flight_date,damage,airline,origin,flight_phase,wildlife_size,sky_conditions,pilot_warned_flag,altitude_ft,heavy_flag
202604,Airplane,LIHUE ARPT,DC-9-50,None,2/11/2000 0:00,No damage,HAWAIIAN AIR,Hawaii,Take-off run,Small,No Cloud,Y,0,No
201044,Airplane,PHOENIX SKY HARBOR,B-737,None,2/12/2000 0:00,No damage,AMERICA WEST AIRLINES,Arizona,Landing Roll,Small,Overcast,N,0,Yes
202254,Airplane,NASHVILLE INTL,B-737-400,None,2/18/2000 0:00,No damage,US AIRWAYS,Tennessee,Climb,Small,Some Cloud,N,800,Yes
205346,Airplane,JIM HAMILTON L B OWENS ARPT,C-560,None,2/23/2000 0:00,Damage,BUSINESS,South Carolina,Climb,Small,Some Cloud,N,500,No
201610,Airplane,CHICAGO O'HARE INTL ARPT,B-737-300,None,2/25/2000 0:00,No damage,UNITED AIRLINES,Illinois,Climb,Medium,Overcast,N,"5,000",Yes
202454,Airplane,WASHINGTON DULLES INTL ARPT,B-737-200,Precautionary Landing,2/29/2000 0:00,No damage,DELTA AIR LINES,DC,Climb,Medium,No Cloud,Y,"1,500",Yes
201013,Airplane,SOUTHWEST FLORIDA INTL ARPT,B-737-400,None,2/29/2000 0:00,No damage,AIR TRANSAT,Florida,Landing Roll,Large,Some Cloud,Y,0,Yes
205771,Airplane,ABERDEEN REGIONAL AR,SAAB-340,None,3/4/2000 0:00,No damage,MESABA AIRLINES,South Dakota,Climb,Small,Some Cloud,N,"2,000",No
202226,Airplane,NEWARK LIBERTY INTL ARPT,MD-82,None,3/6/2000 0:00,No damage,CONTINENTAL AIRLINES,New Jersey,Landing Roll,Small,No Cloud,Y,0,No
204404,Airplane,ASPEN-PITKIN CO/SARD,HAWKER 800,None,3/6/2000 0:00,No damage,EXECUTIVE JET AVIATION,Colorado,Approach,Small,No Cloud,N,20,No
202138,Airplane,ROCHESTER INTL,FOKKER F28 MK 1000,Precautionary Landing,3/6/2000 0:00,No damage,AMERICAN AIRLINES,Minnesota,Climb,Small,No Cloud,N,200,No
201983,Airplane,MINNEAPOLIS-ST PAUL INTL,B-757-200,None,3/7/2000 0:00,No damage,NORTHWEST AIRLINES,Minnesota,Approach,Small,Overcast,N,75,Yes
200247,Airplane,PUEBLO MEMORIAL ARPT,HAWKER 800,None,3/11/2000 0:00,No damage,BUSINESS,Colorado,Approach,Small,No Cloud,N,10,No
201387,Airplane,WESTCHESTER COUNTY ARPT,EMB-135,None,3/13/2000 0:00,No damage,CONTINENTAL AIRLINES,New York,Climb,Medium,No Cloud,Y,10,No
200542,Airplane,BIRMINGHAM-SHUTTLESWORTH INTL,DC-9-40,None,3/13/2000 0:00,No damage,ABX AIR,Alabama,Descent,Small,No Cloud,N,"5,000",No
202076,Airplane,ATLANTA INTL,DC-9-30,None,3/14/2000 0:00,No damage,AIRTRAN AIRWAYS,Georgia,Approach,Medium,No Cloud,N,"1,000",No
204836,Airplane,LAGUARDIA NY,B-727-200,None,3/15/2000 0:00,Damage,DELTA AIR LINES,New York,Approach,Medium,No Cloud,N,"1,300",No
203390,Airplane,TAHITI FAAA,DC-10-30,None,3/15/2000 0:00,Damage,HAWAIIAN AIR,N/A,Landing Roll,Medium,Some Cloud,N,0,Yes
203936,Airplane,ORLANDO INTL,SAAB-340,Aborted Take-off,3/18/2000 0:00,No damage,AMERICAN EAGLE AIRLINES,Florida,Take-off run,Medium,Some Cloud,Y,0,No
203938,Airplane,MYRTLE BEACH INTL,B-737,None,3/22/2000 0:00,Damage,US AIRWAYS,South Carolina,Landing Roll,Large,Some Cloud,N,0,Yes
200130,Airplane,MINNEAPOLIS-ST PAUL INTL,DC-9-10,Engine Shut Down,3/23/2000 0:00,Damage,NORTHWEST AIRLINES,Minnesota,Climb,Large,Overcast,Y,800,No
201705,Airplane,LAFAYETTE REGIONAL (LA),SAAB-340,None,3/23/2000 0:00,No damage,AMERICAN EAGLE AIRLINES,Louisiana,Climb,Small,No Cloud,Y,"1,000",No
201770,Airplane,CLEVELAND-HOPKINS INTL ARPT,EMB-145,None,3/25/2000 0:00,No damage,EXPRESSJET (CONTINENTAL EXPRS),Ohio,Approach,Small,No Cloud,N,"1,500",No
201506,Airplane,WASHINGTON DULLES INTL ARPT,B-737-300,None,4/1/2000 0:00,No damage,US AIRWAYS,DC,Approach,Small,No Cloud,N,"1,000",Yes
201524,Airplane,SAN FRANCISCO INTL ARPT,B-747-1/200,None,4/2/2000 0:00,No damage,NORTHWEST AIRLINES,California,Take-off run,Small,No Cloud,Y,0,No
207027,Airplane,CENTRAL WISCONSIN ARPT,SAAB-340,None,4/4/2000 0:00,No damage,MESABA AIRLINES,Wisconsin,Approach,Small,Some Cloud,N,50,No
4064,Airplane,BARKSDALE AIR FORCE BASE ARPT,B-52H,None,4/6/2000 0:00,No damage,MILITARY,Louisiana,Approach,Medium,No Cloud,Y,"1,000",No
202816,Airplane,DETROIT METRO WAYNE COUNTY ARPT,DC-9,None,4/8/2000 0:00,Damage,US AIRWAYS,Michigan,Climb,Medium,Some Cloud,N,100,No
200828,Airplane,MYRTLE BEACH INTL,DC-9,None,4/9/2000 0:00,No damage,AIRTRAN AIRWAYS,South Carolina,Climb,Small,No Cloud,N,100,No
203262,Airplane,SAN FRANCISCO INTL ARPT,B-737-500,None,4/12/2000 0:00,No damage,UNITED AIRLINES,California,Approach,Small,Some Cloud,Y,50,Yes
200681,Airplane,TOLEDO EXPRESS ARPT,CL-RJ100/200,Other,4/13/2000 0:00,Damage,COMAIR AIRLINES,Ohio,Landing Roll,Large,Some Cloud,N,0,No
202210,Airplane,METRO OAKLAND INTL,B-737-700,None,4/16/2000 0:00,No damage,ALOHA AIRLINES,California,Landing Roll,Small,Some Cloud,Y,0,Yes
202062,Airplane,BIRMINGHAM-SHUTTLESWORTH INTL,B-757-200,None,4/21/2000 0:00,No damage,DELTA AIR LINES,Alabama,Approach,Small,No Cloud,N,500,Yes
200155,Airplane,BEVERLY MUNICIPAL ARPT,C-560,Aborted Take-off,4/25/2000 0:00,No damage,BUSINESS,Massachusetts,Take-off run,Large,Some Cloud,N,0,No
202836,Airplane,TED STEVENS ANCHORAGE INTL,B-747-400,None,4/26/2000 0:00,Damage,ATLAS AIR,Alaska,Descent,Large,No Cloud,Y,"3,500",No
204057,Airplane,CHARLOTTE/DOUGLAS INTL ARPT,FOKKER F100,None,4/28/2000 0:00,No damage,US AIRWAYS,North Carolina,Approach,Small,Overcast,N,"1,000",No
201230,Airplane,TED STEVENS ANCHORAGE INTL,B-757-200,None,4/29/2000 0:00,No damage,DELTA AIR LINES,Alaska,Approach,Small,Overcast,Y,30,Yes
205954,Airplane,CINCINNATI/NORTHERN KENTUCKY INTL ARPT,CL-RJ100/200,None,4/30/2000 0:00,No damage,COMAIR AIRLINES,Kentucky,Approach,Small,No Cloud,Y,"2,000",No
201585,Airplane,GREATER PEORIA REGIONAL ARPT,BE-58  BARON,None,5/3/2000 0:00,No damage,PRIVATELY OWNED,Illinois,Approach,Small,No Cloud,N,"1,800",No
201990,Airplane,INDIANAPOLIS INTL,DC-9-30,None,5/3/2000 0:00,No damage,US AIRWAYS,Indiana,Landing Roll,Small,No Cloud,N,0,No
202887,Airplane,SAN FRANCISCO INTL ARPT,B-737-500,None,5/4/2000 0:00,No damage,UNITED AIRLINES,California,Landing Roll,Small,Some Cloud,N,0,Yes
200068,Airplane,LOUISVILLE INTL ARPT,B-767-300,None,5/9/2000 0:00,No damage,UPS AIRLINES,Kentucky,Approach,Small,Overcast,Y,75,Yes
209758,Airplane,PORTLAND INTL (OR),DC-10,None,5/10/2000 0:00,No damage,FEDEX EXPRESS,Oregon,Landing Roll,Medium,Overcast,Y,0,No
200785,Airplane,STEWART INTL AIRPORT,FOKKER F100,None,5/13/2000 0:00,No damage,AMERICAN AIRLINES,New York,Climb,Medium,Some Cloud,N,50,No
201283,Airplane,LOS ANGELES INTL,SAAB-340,Aborted Take-off,5/15/2000 0:00,Damage,AMERICAN EAGLE AIRLINES,California,Take-off run,Small,Some Cloud,N,0,No
7379,Airplane,BARKSDALE AIR FORCE BASE ARPT,B-52H,None,5/18/2000 0:00,No damage,MILITARY,Louisiana,Approach,Small,No Cloud,Y,"1,200",No
200893,Airplane,BURKE LAKEFRONT,PA-31 NAVAJO,None,5/19/2000 0:00,No damage,BUSINESS,Ohio,Landing Roll,Medium,Overcast,Y,0,No
203391,Airplane,PHILADELPHIA INTL,FOKKER F100,None,5/23/2000 0:00,No damage,AMERICAN AIRLINES,Pennsylvania,Approach,Medium,Overcast,Y,850,No
207700,Airplane,METRO OAKLAND INTL,B-737-300,None,5/28/2000 0:00,No damage,UNITED AIRLINES,California,Climb,Small,Some Cloud,Y,30,Yes
201771,Airplane,CAPITAL CITY (MI),SAAB-340,None,5/29/2000 0:00,No damage,CHAUTAUQUA AIRLINES,Michigan,Take-off run,Small,Some Cloud,N,0,No
203389,Airplane,CAPITAL (BEIJING),B-727,None,5/29/2000 0:00,No damage,DELTA AIR LINES,N/A,Approach,Small,No Cloud,Y,300,No
203333,Airplane,PEASE INTL TRADEPORT,C-172,Precautionary Landing,5/30/2000 0:00,Damage,PRIVATELY OWNED,New Hampshire,Climb,Medium,Some Cloud,Y,"1,000",No
202886,Airplane,SAVANNAH INTL,EMB-145,None,6/1/2000 0:00,No damage,EXPRESSJET (CONTINENTAL EXPRS),Georgia,Take-off run,Small,Overcast,Y,0,No
201053,Airplane,PHILADELPHIA INTL,A-320,None,6/3/2000 0:00,No damage,AMERICA WEST AIRLINES,Pennsylvania,Approach,Small,No Cloud,N,500,No
203804,Airplane,WASHINGTON DULLES INTL ARPT,BA-31 JETSTR,None,6/6/2000 0:00,No damage,ATLANTIC COAST AIRLINES,DC,Approach,Small,No Cloud,N,150,No
202701,Airplane,BURKE LAKEFRONT,LEARJET-35,None,6/6/2000 0:00,No damage,BUSINESS,Ohio,Landing Roll,Medium,Some Cloud,Y,0,No
202151,Airplane,HILO INTL ARPT,DC-9-50,None,6/7/2000 0:00,No damage,HAWAIIAN AIR,Hawaii,Landing Roll,Small,Some Cloud,N,0,No
205305,Airplane,FORT LAUDERDALE/HOLLYWOOD INTL,MD-88,Precautionary Landing,6/8/2000 0:00,No damage,DELTA AIR LINES,Florida,Climb,Small,Some Cloud,Y,10,No
203483,Airplane,DALLAS LOVE FIELD ARPT,B-737,None,6/9/2000 0:00,No damage,SOUTHWEST AIRLINES,Texas,Landing Roll,Small,Overcast,N,0,Yes
204287,Airplane,LOGAN INTL,B-737-300,Precautionary Landing,6/11/2000 0:00,Damage,US AIRWAYS,Massachusetts,Climb,Large,Overcast,N,800,Yes
200031,Airplane,DENVER INTL AIRPORT,BE-1900,None,6/12/2000 0:00,No damage,GREAT LAKES AIRLINES,Colorado,Approach,Small,No Cloud,N,500,No
201214,Airplane,SAVANNAH INTL,B-757-200,None,6/14/2000 0:00,No damage,DELTA AIR LINES,Georgia,Take-off run,Small,No Cloud,N,0,Yes
201505,Airplane,KALAMAZOO/BATTLE CREEK INTL,CL-RJ100/200,None,6/15/2000 0:00,No damage,COMAIR AIRLINES,Michigan,Approach,Small,Some Cloud,N,40,No
204115,Airplane,NORFOLK INTL,IAI-1124,Precautionary Landing,6/16/2000 0:00,No damage,UNKNOWN,Virginia,Take-off run,Medium,Some Cloud,N,0,No
202139,Airplane,GERALD R FORD INTL,DC-9-40,None,6/20/2000 0:00,No damage,NORTHWEST AIRLINES,Michigan,Landing Roll,Small,Overcast,N,0,No
203968,Airplane,INDIANAPOLIS INTL,B-757-200,None,6/21/2000 0:00,No damage,AMERICA WEST AIRLINES,Indiana,Landing Roll,Small,Some Cloud,Y,0,Yes
202994,Airplane,FORT SMITH MUNICIPAL ARPT,C-172,None,6/25/2000 0:00,No damage,BUSINESS,Arkansas,Approach,Small,No Cloud,N,20,No
202602,Airplane,CINCINNATI/NORTHERN KENTUCKY INTL ARPT,BE-1900,None,6/25/2000 0:00,No damage,EXPRESSJET (CONTINENTAL EXPRS),Kentucky,Landing Roll,Small,Some Cloud,Y,0,No
201414,Airplane,MCCARREN INTL,B-727,None,6/26/2000 0:00,No damage,ATA AIRLINES,Nevada,Climb,Medium,Overcast,N,"5,100",No
203143,Airplane,ATLANTA INTL,BA-31 JETSTR,None,6/27/2000 0:00,Damage,BUSINESS,Georgia,Landing Roll,Medium,Some Cloud,N,0,No
203243,Airplane,HESLER-NOBLE FIELD ARPT,LEARJET-31,Precautionary Landing,6/28/2000 0:00,Damage,BUSINESS,Mississippi,Climb,Medium,No Cloud,N,100,No
204609,Airplane,CHICAGO O'HARE INTL ARPT,CL-RJ100/200,Aborted Take-off,6/29/2000 0:00,No damage,AIR WISCONSIN AIRLINES,Illinois,Take-off run,Small,No Cloud,Y,0,No
201335,Airplane,SOUTHWEST FLORIDA INTL ARPT,C-402,Aborted Take-off,6/30/2000 0:00,No damage,CAPE AIR,Florida,Take-off run,Small,Some Cloud,Y,0,No
202613,Airplane,PENSACOLA REGIONAL,SHORTS SC7,None,7/6/2000 0:00,No damage,UNKNOWN,Florida,Climb,Small,No Cloud,N,20,No
200807,Airplane,PHILADELPHIA INTL,MD-88,None,7/7/2000 0:00,No damage,DELTA AIR LINES,Pennsylvania,Approach,Small,No Cloud,Y,100,No
202419,Airplane,BALTIMORE WASH INTL,B-757-200,None,7/7/2000 0:00,No damage,UNITED AIRLINES,Maryland,Climb,Small,Some Cloud,Y,100,Yes
200696,Airplane,SAN FRANCISCO INTL ARPT,B-737-800,None,7/10/2000 0:00,No damage,CONTINENTAL AIRLINES,California,Climb,Small,No Cloud,Y,10,Yes
200108,Airplane,WASHINGTON DULLES INTL ARPT,A-319,None,7/10/2000 0:00,No damage,UNITED AIRLINES,DC,Landing Roll,Medium,No Cloud,Y,0,No
203355,Airplane,LAURENCE G HANSCOM,CITATION II,None,7/10/2000 0:00,No damage,BUSINESS,Massachusetts,Landing Roll,Small,Some Cloud,N,0,No
202117,Airplane,PANAMA CITY - BAY COUNTY INTL,ATR-72,None,7/11/2000 0:00,No damage,ATLANTIC SOUTHEAST,Florida,Landing Roll,Small,Some Cloud,Y,0,No
202204,Airplane,BIRMINGHAM-SHUTTLESWORTH INTL,B-737-300,None,7/12/2000 0:00,No damage,SOUTHWEST AIRLINES,Alabama,Landing Roll,Medium,Some Cloud,Y,0,Yes
205917,Airplane,PANAMA CITY - BAY COUNTY INTL,ATR-72,None,7/15/2000 0:00,No damage,ATLANTIC SOUTHEAST,Florida,Landing Roll,Small,No Cloud,Y,0,No
204602,Airplane,SUVA FIJI,A-320,None,7/16/2000 0:00,No damage,TRANSMERIDIAN AIRLINES,N/A,Approach,Small,No Cloud,N,100,No
205350,Airplane,OXNARD ARPT,C-172,None,7/17/2000 0:00,No damage,PRIVATELY OWNED,California,Approach,Small,No Cloud,N,100,No
203335,Airplane,PORTLAND INTL (OR),B-737-500,None,7/18/2000 0:00,No damage,UNITED AIRLINES,Oregon,Landing Roll,Medium,Overcast,Y,0,Yes
204308,Airplane,MORRISTOWN MUNICIPAL ARPT,DA-20 FALCON,None,7/19/2000 0:00,No damage,BUSINESS,New Jersey,Take-off run,Small,Some Cloud,Y,0,No
200758,Airplane,LOUISVILLE INTL ARPT,B-737-200,None,7/20/2000 0:00,No damage,US AIRWAYS,Kentucky,Climb,Medium,No Cloud,N,20,Yes
204677,Airplane,LOUISVILLE INTL ARPT,B-737-200,None,7/21/2000 0:00,No damage,US AIRWAYS,Kentucky,Landing Roll,Small,Overcast,N,0,Yes
205312,Airplane,DALLAS/FORT WORTH INTL ARPT,SAAB-340,Aborted Take-off,7/21/2000 0:00,No damage,AMERICAN EAGLE AIRLINES,Texas,Take-off run,Small,Some Cloud,N,0,No
206984,Airplane,PANAMA CITY - BAY COUNTY INTL,ATR-72,None,7/22/2000 0:00,No damage,ATLANTIC SOUTHEAST,Florida,Take-off run,Small,Some Cloud,Y,0,No
203849,Airplane,TRENTON MERCER ARPT,BE-400 BJET,None,7/22/2000 0:00,No damage,BUSINESS,New Jersey,Climb,Small,No Cloud,Y,350,No
203187,Airplane,CINCINNATI/NORTHERN KENTUCKY INTL ARPT,CL-RJ100/200,None,7/23/2000 0:00,No damage,COMAIR AIRLINES,Kentucky,Take-off run,Small,No Cloud,Y,0,No
205741,Airplane,PORTLAND INTL (OR),C-402,None,7/24/2000 0:00,No damage,AMERIFLIGHT,Oregon,Approach,Small,No Cloud,Y,200,No
203630,Airplane,PANAMA CITY - BAY COUNTY INTL,SAAB-340,None,7/28/2000 0:00,No damage,PINNACLE,Florida,Climb,Small,Some Cloud,N,50,No
203455,Airplane,TETERBORO AIRPORT,DA-2000,None,7/28/2000 0:00,No damage,BUSINESS,New Jersey,Take-off run,Small,Overcast,N,0,No
202567,Airplane,SANFORD REGIONAL ARPT,HAWKER-SDLY HS125,None,7/28/2000 0:00,No damage,BUSINESS,Maine,Approach,Small,Some Cloud,N,50,No
202382,Airplane,PANAMA CITY - BAY COUNTY INTL,C-560,None,7/30/2000 0:00,No damage,BUSINESS,Florida,Landing Roll,Small,Some Cloud,N,0,No
200793,Airplane,NEWARK LIBERTY INTL ARPT,A-300,None,8/4/2000 0:00,No damage,AMERICAN AIRLINES,New Jersey,Landing Roll,Medium,No Cloud,N,0,No
205461,Airplane,DALLAS/FORT WORTH INTL ARPT,SAAB-340,None,8/5/2000 0:00,No damage,AMERICAN EAGLE AIRLINES,Texas,Landing Roll,Small,No Cloud,N,0,No
203512,Airplane,CINCINNATI/NORTHERN KENTUCKY INTL ARPT,B-767,None,8/6/2000 0:00,No damage,DELTA AIR LINES,Kentucky,Approach,Small,Overcast,Y,100,Yes
201322,Airplane,MEMPHIS INTL,B-737-300,Aborted Take-off,8/6/2000 0:00,Damage,UNITED AIRLINES,Tennessee,Take-off run,Small,Some Cloud,N,0,Yes
203160,Airplane,GREATER ROCHESTER INTL,A-319,None,8/6/2000 0:00,No damage,AMERICAN AIRLINES,New York,Take-off run,Small,Overcast,N,0,No
201114,Airplane,BALTIMORE WASH INTL,B-737-300,None,8/6/2000 0:00,No damage,US AIRWAYS,Maryland,Landing Roll,Small,Overcast,Y,0,Yes
202199,Airplane,PANAMA CITY - BAY COUNTY INTL,SAAB-340,Aborted Take-off,8/8/2000 0:00,Damage,PINNACLE,Florida,Take-off run,Small,No Cloud,N,0,No
201407,Airplane,BIRMINGHAM-SHUTTLESWORTH INTL,FOKKER F100,None,8/8/2000 0:00,No damage,US AIRWAYS,Alabama,Landing Roll,Medium,No Cloud,Y,0,No
200672,Airplane,BIRMINGHAM-SHUTTLESWORTH INTL,B-737-300,None,8/9/2000 0:00,No damage,SOUTHWEST AIRLINES,Alabama,Approach,Medium,Some Cloud,N,100,Yes
208831,Airplane,SAINT HUBERT,HAWKER 1000,None,8/10/2000 0:00,No damage,EXECUTIVE JET AVIATION,Quebec,Landing Roll,Medium,No Cloud,N,0,No
201896,Airplane,RALEIGH-DURHAM INTL,B-727-200,Aborted Take-off,8/10/2000 0:00,No damage,AMERICAN AIRLINES,North Carolina,Take-off run,Large,Some Cloud,N,0,No
204264,Airplane,DUPAGE AIRPORT,C-172,None,8/12/2000 0:00,No damage,BUSINESS,Illinois,Climb,Small,No Cloud,N,150,No
204225,Airplane,DUPAGE AIRPORT,PA-28,None,8/12/2000 0:00,No damage,PRIVATELY OWNED,Illinois,Approach,Small,Some Cloud,N,100,No
202482,Airplane,DALLAS LOVE FIELD ARPT,CL-RJ100/200,None,8/13/2000 0:00,No damage,ATLANTIC SOUTHEAST,Texas,Approach,Small,No Cloud,N,"2,500",No
202464,Airplane,ROANOKE REGIONAL,BE-23 SUNDOWNER,None,8/14/2000 0:00,No damage,BUSINESS,Virginia,Landing Roll,Small,No Cloud,N,0,No
200732,Airplane,LOUISVILLE INTL ARPT,B-737-300,None,8/16/2000 0:00,No damage,US AIRWAYS,Kentucky,Landing Roll,Small,No Cloud,N,0,Yes
208561,,,BELL-206,,,No damage,,Louisiana,,,No Cloud,,,
203380,Airplane,EL PASO INTL ARPT,B-737-300,None,8/18/2000 0:00,No damage,SOUTHWEST AIRLINES,Texas,Approach,Small,Some Cloud,N,100,Yes
200698,Airplane,NEWARK LIBERTY INTL ARPT,B-737-500,None,8/19/2000 0:00,No damage,CONTINENTAL AIRLINES,New Jersey,Approach,Small,Some Cloud,N,30,Yes
200664,Airplane,NEWARK LIBERTY INTL ARPT,B-727-200,None,8/20/2000 0:00,No damage,AMERICAN AIRLINES,New Jersey,Landing Roll,Small,Some Cloud,Y,0,No
200794,Airplane,PANAMA CITY - BAY COUNTY INTL,BE-400 BJET,None,8/21/2000 0:00,No damage,BUSINESS,Florida,Climb,Small,Some Cloud,Y,40,No
204415,Airplane,PALM BEACH INTL,BE-1900,Precautionary Landing,8/21/2000 0:00,No damage,BUSINESS,Florida,Take-off run,Small,Some Cloud,Y,0,No
207534,Airplane,LEWISTON-NEZ PERCE CO ARPT,DHC8 DASH 8,None,8/22/2000 0:00,No damage,HORIZON AIR,Idaho,Approach,Small,No Cloud,N,5,No
201872,Airplane,GERALD R FORD INTL,A-319,None,8/23/2000 0:00,No damage,NORTHWEST AIRLINES,Michigan,Approach,Small,Some Cloud,Y,25,No
204521,Airplane,PHILADELPHIA INTL,B-747-1/200,Aborted Take-off,8/23/2000 0:00,Damage,EVERGREEN INTL AIRLINES,Pennsylvania,Take-off run,Large,Overcast,Y,0,No
201139,Airplane,BLOOMINGTON/NORMAL,BE-90  KING,Aborted Take-off,8/23/2000 0:00,No damage,BUSINESS,Illinois,Take-off run,Small,Some Cloud,N,0,No
200375,Airplane,BLOOMINGTON/NORMAL,SAAB-340,Aborted Take-off,8/23/2000 0:00,No damage,MESABA AIRLINES,Illinois,Take-off run,Small,Some Cloud,Y,0,No
205933,Airplane,INDIANAPOLIS REGIONAL ARPT,HAWKER 1000,None,8/24/2000 0:00,No damage,BUSINESS,Indiana,Approach,Small,No Cloud,N,10,No
202578,Airplane,JACKSON EVERS INTL,B-737-300,None,8/25/2000 0:00,No damage,SOUTHWEST AIRLINES,Mississippi,Climb,Small,No Cloud,Y,300,Yes
203634,Airplane,NEWARK LIBERTY INTL ARPT,MD-80,None,8/25/2000 0:00,No damage,CONTINENTAL AIRLINES,New Jersey,Approach,Small,Some Cloud,Y,15,No
201828,Airplane,DALLAS LOVE FIELD ARPT,DC-9-30,None,8/27/2000 0:00,No damage,LEGEND AIRLINES,Texas,Take-off run,Medium,No Cloud,Y,0,No
200783,Airplane,SAVANNAH INTL,CL-RJ100/200,None,8/28/2000 0:00,No damage,COMAIR AIRLINES,Georgia,Landing Roll,Small,Some Cloud,Y,0,No
202035,Airplane,VANCOUVER INTL,DHC8 DASH 8,None,8/30/2000 0:00,No damage,HORIZON AIR,British Columbia,Approach,Small,Some Cloud,N,50,No
200560,Airplane,LEHIGH VALLEY INTL,DC-9,None,8/30/2000 0:00,No damage,US AIRWAYS,Pennsylvania,Landing Roll,Medium,Overcast,N,0,No
204413,Airplane,SALT LAKE CITY INTL,B-727,None,9/3/2000 0:00,No damage,DELTA AIR LINES,Utah,Approach,Small,No Cloud,N,"1,000",No
202289,Airplane,LOGAN INTL,B-767-200,None,9/4/2000 0:00,No damage,DELTA AIR LINES,Massachusetts,Approach,Small,No Cloud,Y,20,Yes
202074,Airplane,GREATER ROCHESTER INTL,B-727,None,9/4/2000 0:00,No damage,DELTA AIR LINES,New York,Landing Roll,Small,Overcast,N,0,No
202788,Airplane,QUAD CITY ARPT,BA-146,None,9/4/2000 0:00,No damage,AIR WISCONSIN AIRLINES,Illinois,Take-off run,Small,Overcast,N,0,No
206920,Airplane,PORT COLUMBUS INTL,DC-9,None,9/4/2000 0:00,No damage,NORTHWEST AIRLINES,Ohio,Take-off run,Small,Some Cloud,N,0,No
202461,Airplane,TETERBORO AIRPORT,GULFAERO III,None,9/5/2000 0:00,No damage,BUSINESS,New Jersey,Take-off run,Small,Some Cloud,N,0,No
205207,Airplane,BALTIMORE WASH INTL,A-320,None,9/5/2000 0:00,No damage,UNITED AIRLINES,Maryland,Approach,Medium,No Cloud,Y,500,No
201570,Airplane,NASHVILLE INTL,BA-31 JETSTR,Aborted Take-off,9/7/2000 0:00,No damage,CCAIR,Tennessee,Take-off run,Small,Overcast,N,0,No
204351,Airplane,KANSAS CITY INTL,B-737-300,None,9/8/2000 0:00,No damage,CONTINENTAL AIRLINES,Missouri,Approach,Small,Some Cloud,Y,30,Yes
202351,Airplane,EPPLEY AIRFIELD,B-737-200,None,9/8/2000 0:00,No damage,FRONTIER AIRLINES,Nebraska,Approach,Small,No Cloud,Y,200,Yes
204272,Airplane,BIRMINGHAM-SHUTTLESWORTH INTL,BE-300 KING,None,9/9/2000 0:00,No damage,BUSINESS,Alabama,Landing Roll,Small,Some Cloud,Y,0,No
